CellName,Current_pA,FiringRate_Hz
2023_05_11_05_0003.abf,-5,0
2023_05_11_05_0003.abf,10,0
2023_05_11_05_0003.abf,25,0
2023_05_11_05_0003.abf,40,4
2023_05_11_05_0003.abf,55,8
2023_05_11_05_0003.abf,70,8
2023_05_11_05_0003.abf,85,10
2023_05_11_05_0003.abf,100,11
2023_05_11_05_0003.abf,115,12
2023_05_11_05_0003.abf,130,13
2023_05_11_05_0003.abf,145,15
2023_05_11_05_0003.abf,160,16
2023_05_11_05_0003.abf,175,16
2023_05_11_05_0003.abf,190,17
2023_05_11_05_0003.abf,205,18
2023_05_11_05_0003.abf,220,19
2023_05_11_05_0003.abf,235,19
2023_05_11_05_0003.abf,250,20
2023_05_11_05_0003.abf,265,21
2023_05_11_05_0003.abf,280,22
2023_05_11_05_0003.abf,295,22
2023_05_11_05_0003.abf,310,23
2023_05_22_07_0005.abf,-50,0
2023_05_22_07_0005.abf,-35,0
2023_05_22_07_0005.abf,-20,0
2023_05_22_07_0005.abf,-5,0
2023_05_22_07_0005.abf,10,0
2023_05_22_07_0005.abf,25,0
2023_05_22_07_0005.abf,40,1
2023_05_22_07_0005.abf,55,0
2023_05_22_07_0005.abf,70,0
2023_05_22_07_0005.abf,85,1
2023_05_22_07_0005.abf,100,3
2023_05_22_07_0005.abf,115,1
2023_05_22_07_0005.abf,130,2
2023_05_22_07_0005.abf,145,2
2023_05_22_07_0005.abf,160,3
2023_05_22_07_0005.abf,175,4
2023_05_22_07_0005.abf,190,5
2023_05_22_07_0005.abf,205,4
2023_05_22_07_0005.abf,220,4
2023_05_22_07_0005.abf,235,5
2023_05_22_07_0005.abf,250,8
2023_05_22_07_0005.abf,265,7
2023_05_22_07_0005.abf,280,3
2023_05_22_07_0005.abf,295,3
2023_05_22_07_0005.abf,310,3
2023_05_25_02_0003.abf,-50,0
2023_05_25_02_0003.abf,-35,0
2023_05_25_02_0003.abf,-20,0
2023_05_25_02_0003.abf,-5,0
2023_05_25_02_0003.abf,10,0
2023_05_25_02_0003.abf,25,0
2023_05_25_02_0003.abf,40,0
2023_05_25_02_0003.abf,55,0
2023_05_25_02_0003.abf,70,1
2023_05_25_02_0003.abf,85,2
2023_05_25_02_0003.abf,100,4
2023_05_25_02_0003.abf,115,7
2023_05_25_02_0003.abf,130,8
2023_05_25_02_0003.abf,145,9
2023_05_25_02_0003.abf,160,11
2023_05_25_02_0003.abf,175,11
2023_05_25_02_0003.abf,190,12
2023_05_25_02_0003.abf,205,12
2023_05_25_02_0003.abf,220,13
2023_05_25_02_0003.abf,235,13
2023_05_25_02_0003.abf,250,13
2023_05_25_02_0003.abf,265,13
2023_05_25_02_0003.abf,280,14
2023_05_25_02_0003.abf,295,14
2023_05_25_02_0003.abf,310,14
2023_05_25_04_0003.abf,-50,0
2023_05_25_04_0003.abf,-35,0
2023_05_25_04_0003.abf,-20,0
2023_05_25_04_0003.abf,-5,0
2023_05_25_04_0003.abf,10,0
2023_05_25_04_0003.abf,25,0
2023_05_25_04_0003.abf,40,1
2023_05_25_04_0003.abf,55,5
2023_05_25_04_0003.abf,70,7
2023_05_25_04_0003.abf,85,9
2023_05_25_04_0003.abf,100,11
2023_05_25_04_0003.abf,115,12
2023_05_25_04_0003.abf,130,13
2023_05_25_04_0003.abf,145,14
2023_05_25_04_0003.abf,160,15
2023_05_25_04_0003.abf,175,16
2023_05_25_04_0003.abf,190,16
2023_05_25_04_0003.abf,205,17
2023_05_25_04_0003.abf,220,18
2023_05_25_04_0003.abf,235,18
2023_05_25_04_0003.abf,250,19
2023_05_25_04_0003.abf,265,19
2023_05_25_04_0003.abf,280,20
2023_05_25_04_0003.abf,295,20
2023_05_25_04_0003.abf,310,21
2023_05_26_02_0003.abf,-50,0
2023_05_26_02_0003.abf,-35,0
2023_05_26_02_0003.abf,-20,0
2023_05_26_02_0003.abf,-5,0
2023_05_26_02_0003.abf,10,0
2023_05_26_02_0003.abf,25,0
2023_05_26_02_0003.abf,40,0
2023_05_26_02_0003.abf,55,0
2023_05_26_02_0003.abf,70,1
2023_05_26_02_0003.abf,85,2
2023_05_26_02_0003.abf,100,4
2023_05_26_02_0003.abf,115,5
2023_05_26_02_0003.abf,130,6
2023_05_26_02_0003.abf,145,7
2023_05_26_02_0003.abf,160,7
2023_05_26_02_0003.abf,175,7
2023_05_26_02_0003.abf,190,8
2023_05_26_02_0003.abf,205,9
2023_05_26_02_0003.abf,220,9
2023_05_26_02_0003.abf,235,9
2023_05_26_02_0003.abf,250,10
2023_05_26_02_0003.abf,265,10
2023_05_26_02_0003.abf,280,11
2023_05_26_02_0003.abf,295,11
2023_05_26_02_0003.abf,310,11
2023_06_22_01_0004.abf,-50,0
2023_06_22_01_0004.abf,-35,0
2023_06_22_01_0004.abf,-20,0
